,9618.HK,9988.HK,3690.HK,0700.HK,1211.HK,ABEV.K,LZRFY.PK
20/07/2022,245.6,103.2,194.7,321.5948308,288,2.59,9.623614021
19/07/2022,241,100.9,189.1,316.4660296,290,2.65,9.969944701
18/07/2022,244,103.9,189.7,315.8961628,293.8,2.64,9.912222921
15/07/2022,236.6,102.2,179.2,308.67785,294.2,2.65,10.0664794
14/07/2022,244,108.7,182.5,318.17563,283,2.69,9.971935108
13/07/2022,237.6,107.4,180.5,318.5555412,268.2,2.66,10.14111964
12/07/2022,230.8,107.8,178,320.8350084,270.2,2.51,9.830616267
11/07/2022,235,114,181.6,325.2039872,306.8,2.57,9.986863154
08/07/2022,245.8,121,192.3,334.8917228,320.8,2.68,10.51929682
07/07/2022,247.2,116.7,194.4,333.9419448,325,2.63,10.33020823
06/07/2022,250,117,195.9,330.1428328,317.4,2.59,10.13614362
05/07/2022,260.2,115.2,197.7,331.2825664,313.6,2.56,9.743038394
30/06/2022,252.8,111.9,194.2,336.6013232,314,2.51,9.305149028
29/06/2022,251.4,114.5,202.8,346.66897,315,2.58,9.872414797
28/06/2022,259.4,118.1,207.6,347.4287924,331.4,2.51,9.703230269
27/06/2022,265.4,118.1,205,359.2060396,318,2.59,9.772894487
24/06/2022,249.8,113.9,198.1,364.9047076,310.2,2.57,9.474333555
23/06/2022,243.6,108,192.6,356.16675,310,2.52,9.659441333
22/06/2022,240.8,101.5,191.6,351.41786,296.6,2.53,9.653470114
21/06/2022,256.8,105.8,201.2,361.865418,299.6,2.51,9.529666848
17/06/2022,261.2,104.5,199.1,350.8479932,293,2.49,9.653470114
16/06/2022,246.2,102.4,189.2,349.1383928,290.8,2.45,9.524093711
15/06/2022,250.4,105.6,197,360.7256844,295.8,2.54,10.17595174
14/06/2022,241.2,101.2,194.4,357.116528,303.8,2.51,9.344957152
13/06/2022,239.2,103.8,188.2,358.066306,308.2,2.55,9.389741291
10/06/2022,250.8,112.8,201.2,376.4919992,315.8,2.67,10.2904001
09/06/2022,249,111.3,201.8,374.9723544,300,2.71,10.66360127
08/06/2022,254.2,108.8,208.2,371.7431092,302,2.78,10.60886509
07/06/2022,238.8,98.8,199,349.1383928,293.8,2.79,10.99699431
06/06/2022,231.8,96.95,198.1,349.1383928,300.6,2.88,11.09651462
02/06/2022,221.4,92.3,180.2,340.970302,284.4,2.93,11.71354054
01/06/2022,224.2,94.6,182.5,342.2999912,282.6,2.93,11.95238929
31/05/2022,226,96.25,187,344.1995472,280,2.96,11.97726936
27/05/2022,208.4,91,163.9,324.6341204,268.6,2.96,12.21114209
26/05/2022,197.4,81.1,158.6,317.4158076,263.8,2.94,12.02702952
25/05/2022,198.6,82.35,159.7,317.225852,261.2,2.87,11.75334866
24/05/2022,201.6,83.6,159.6,321.024964,254.8,2.89,11.44981172
23/05/2022,212.8,85.1,167.7,329.3830104,270.4,2.9,11.57918812
20/05/2022,211.6,88.05,173,334.5118116,268.6,2.82,11.29555524
19/05/2022,199.8,83.35,165.5,324.6341204,259.6,2.82,11.15125079
18/05/2022,207.4549032,90,172,347.2388368,260.2,2.8,11.05670649
17/05/2022,209.7990264,90.55,173.7,349.8982152,254,2.94,11.30550727
16/05/2022,195.3436,84.6,163.5,332.4223,237.6,2.89,11.0268504
13/05/2022,194.9529128,82.2,167.6,336.6013232,237.2,2.86,11.02187438
12/05/2022,187.529856,80,157,326.9135876,225.8,2.78,10.62876916
11/05/2022,203.3526876,85.65,161.4,332.8022112,233.2,2.66,10.37001635
10/05/2022,203.157344,86,151.8,324.0642536,215,2.64,10.1311676
06/05/2022,221.3242988,90.35,157,331.6624776,228.6,2.62,11.94243725
05/05/2022,235.9750688,96.7,164.7,347.9986592,238.4,2.71,10.44366138
04/05/2022,234.0216328,96.55,164.5,349.8982152,236.6,2.89,10.89747399
03/05/2022,243.9841564,100.3,172.4,360.91564,234.8,2.83,10.39987244
29/04/2022,259.4163008,102.1,172,358.4462172,235.8,2.91,11.0915386
28/04/2022,224.2544528,88.25,148.9,322.7345644,227.2,2.95,11.04675446
27/04/2022,214.6826164,84.55,147.9,317.9856744,224,2.92,10.8029297
26/04/2022,207.2595596,84.9,145.3,318.9354524,224.2,2.92,10.54915291
25/04/2022,196.1249744,81.85,138.6,310.9573172,219.4,3.06,11.32541133
22/04/2022,203.5480312,86.65,141.4,323.4943868,231.6,3.02,11.99219741
21/04/2022,201.5945952,87.9,137.8,330.522744,231.2,3.11,14.21150033
20/04/2022,215.6593344,90.7,144.9,343.819636,238.6,3.18,12.45994287
19/04/2022,217.0267396,91.5,146,345.719192,240,3.13,12.39027865
14/04/2022,221.1289552,95.5,155.2,355.5968832,239.8,3.1,12.02802472
13/04/2022,222.4963604,98.5,154.1,354.8370608,229,3.14,12.24099819
12/04/2022,218.9801756,99,153.9,347.9986592,223.6,3.21,12.36042256
11/04/2022,210.3850572,98.5,147.5,335.8415008,220.8,3.24,11.89665791
08/04/2022,217.2220832,103.8,156.5,351.0379488,238.4,3.12,12.12654983
07/04/2022,221.9103296,105.2,159.3,355.5968832,235.6,3.14,12.14147788
06/04/2022,229.3333864,107.6,160.9,361.865418,239.2,3.14,12.41515873
04/04/2022,240.8586588,113.7,167,370.41342,243.6,3.28,13.29591348
01/04/2022,223.668422,109.7,155.5,359.7759064,225.2,3.29,14.43044502
31/03/2022,228.552012,112.1,155.6,355.4069276,224.4,3.23,12.5992713
30/03/2022,232.458884,113.9,160.1,361.4855068,223.8,3.14,12.83812005
29/03/2022,232.8495712,113.5,159.3,358.2562616,216,3.18,12.96749645
28/03/2022,219.5662064,111.1,150.6,347.9986592,211.4,3.06,12.89783223
25/03/2022,223.4730784,107.4,135,338.5008792,211.6,3,12.69879161
24/03/2022,235.9750688,113.8,147,347.618748,225.2,2.92,12.22109412
23/03/2022,246.132936,117.6,156.2,369.463642,225.6,2.92,11.7633007
22/03/2022,247.8910284,110.2,153,368.513864,217.6,2.9,11.6040682
21/03/2022,233.435602,99.1,143.9,353.6973272,212.4,2.86,11.0606873
18/03/2022,238.1238484,98.35,153.3,361.865418,212.2,2.84,11.09651462
17/03/2022,248.4770592,102,157.2,370.41342,213.8,2.77,10.58896103
16/03/2022,214.4872728,90.7,140,348.568526,196.6,2.7,10.4197765
15/03/2022,158.1306442,71.25,106,283.033844,166.9,2.62,10.31030416
14/03/2022,175.80924,80.9,112.6,315.1363404,179,2.62,10.37996838
11/03/2022,206.2828416,90.8,135.4,349.3283484,195.1,2.6,10.579009
10/03/2022,231.8728532,96.1,144.2,365.66453,200.2,2.67,10.91737806
09/03/2022,229.52873,96.25,148.5,365.4745744,189.9,2.77,11.11144266
08/03/2022,225.0358272,96.9,145.5,363.9549296,184,2.64,10.19087979
07/03/2022,241.249346,96,146.2,368.513864,203.2,2.62,10.09135948
04/03/2022,256.2908032,99,164.8,382.9504896,212.4,2.73,10.46675009
03/03/2022,279.5366916,104.4,174.2,397.7670264,232.4,2.82,10.92235407
02/03/2022,278.36463,103.9,176.4,402.1360052,239.2,2.85,10.81188653
01/03/2022,281.0994404,103.8,173.4,409.354318,240.4,2.82,12.03200553
28/02/2022,272.6996656,104.2,172.2,400.0464936,237.4,2.93,10.40982447
25/02/2022,269.3788244,105.3,170.2,402.705872,236,2.96,11.48464383
24/02/2022,264.8859216,104.9,170.2,406.3150284,232.2,2.88,11.36521945
23/02/2022,278.36463,112.4,176.6,422.65121,243.4,2.96,11.64984754
22/02/2022,268.7927936,111.4,171.3,422.4612544,236,2.89,11.95238929
18/02/2022,280.318066,119.5,188,446.39566,246.2,2.88,11.34531539
17/02/2022,288.5224972,123,220.8,454.943662,253.6,2.86,11.34531539
16/02/2022,290.2805896,122.5,219.4,452.2842836,247,2.94,11.77325273
15/02/2022,283.6389072,118.4,214,446.39566,240.8,2.95,11.68368445
14/02/2022,282.8575328,118.7,219.6,448.295216,235.4,2.9,11.1860829
11/02/2022,291.6479948,122.4,227.8,453.044106,233.6,2.85,10.82581937
10/02/2022,294.7734924,122.2,233,460.0724632,240.6,2.81,10.80790572
09/02/2022,291.061964,118.8,229.2,458.5528184,243.6,2.78,10.79795368
08/02/2022,278.9506608,111.2,221,446.39566,235.4,2.71,10.61483631
07/02/2022,285.3969996,115,225.8,453.993884,241.4,2.72,10.64867322
04/02/2022,278.1692864,120.4,226.8,454.943662,237,2.71,11.53440398
31/01/2022,273.0903528,114,219.6,448.295216,221.4,2.83,11.36521945
28/01/2022,259.806988,110,208,436.89788,219.8,2.77,10.79795368
27/01/2022,268.4021064,108.5,209.4,439.747214,241.6,2.83,10.69843337
26/01/2022,278.1692864,116.9,225,449.8148608,245.6,2.75,10.62876916
25/01/2022,274.0670708,116.8,225.8,443.3563704,242.4,2.79,10.04159932
24/01/2022,282.4668456,119.1,232.8,446.0157488,252.2,2.69,9.504189648
21/01/2022,299.0710516,127.1,238,450.9545944,260.8,2.67,10.0017912
20/01/2022,292.8200564,131.5,238,447.9153048,261.2,2.65,9.981887139
19/01/2022,274.8484452,124.2,214.4,420.1817262,258,2.65,8.618458885
18/01/2022,272.504322,126.4,215.8,417.4161598,266,2.61,8.777691382
14/01/2022,280.318066,129.3,220.6,436.4063826,263.8,2.75,9.23548481
13/01/2022,286.3737176,132.2,226.2,438.0657225,260.4,2.72,8.862283646
12/01/2022,298.0943336,133,227,443.2281131,259.6,2.69,8.877211693
11/01/2022,268.59745,125.6,208,424.0535192,241.2,2.65,8.648314979
10/01/2022,263.9092036,127.6,206.6,417.784902,245.6,2.6,8.419418264
07/01/2022,262.5417984,128.8,204,408.3819761,247.2,2.59,8.608606375
06/01/2022,250.6258388,121,202.2,402.8508433,249,2.6,8.668219041
05/01/2022,240.6633152,114.5,195.1,396.9509682,250,2.63,8.399514202
04/01/2022,259.2209572,116.9,219.6,414.8349645,272.8,2.71,8.872235677
03/01/2022,264.1045472,115,223.4,418.3380153,265.2,2.72,8.85730763
31/12/2021,267.620732,118.9,225.4,421.1035817,266.6,2.8,9.155868562
30/12/2021,253.7513364,109.9,218.4,408.7507183,263,2.76,9.374813245
29/12/2021,249.2584336,110.6,216,410.041316,262.2,2.71,9.086204345
28/12/2021,254.7280544,113.5,223.4,415.2037067,259.8,2.73,9.434525431
23/12/2021,253.5559928,113.3,226.6,425.7128591,266.2,2.74,9.524093711
22/12/2021,272.6996656,114.9,230.4,408.3819761,265,2.73,9.593757928
21/12/2021,267.0347012,113.9,229,406.3538941,256,2.66,9.61366199
20/12/2021,262.737142,114.5,219.2,396.3978549,251.6,2.66,9.514141679
17/12/2021,273.6763836,117,225.8,403.7726987,265.6,2.81,10.01174323
15/12/2021,292.4293692,121,241.8,420.1817262,271,2.8,10.26054401
14/12/2021,297.3129592,118.7,246.2,423.8691481,277.4,2.83,9.981887139
13/12/2021,303.3686108,121.1,248,430.1377654,288.2,2.8,10.11126354
10/12/2021,304.9313596,121.2,243,427.1878278,289.8,2.81,9.971935108
09/12/2021,303.759298,123.4,247,435.6688982,291.6,2.78,9.782846518
08/12/2021,299.852426,120.6,245.2,430.5065076,291.8,2.87,9.976911123
07/12/2021,299.852426,126.5,245.8,427.55657,292.2,2.86,9.484285586
06/12/2021,298.875708,112.7,232.4,412.8068824,284,2.82,9.543997773
03/12/2021,314.1125088,119.4,241.2,426.4503435,297.8,2.82,9.583805897
02/12/2021,334.037556,122.6,247.8,436.5907537,305.4,2.81,9.404669338
01/12/2021,333.4515252,125.7,244.6,432.1658474,305.8,2.75,8.847355599
30/11/2021,331.8887764,127.3,238,423.5004059,306.4,2.82,9.016540127
29/11/2021,342.4373308,130,245,426.2659724,302.2,2.9,9.315101059
26/11/2021,337.944428,129.1,263.6,427.1878278,302,2.95,9.335005121
24/11/2021,344.1954232,131.8,273.4,435.300156,313.8,3.03,9.404669338
23/11/2021,346.5395464,133,265.4,443.5968553,317,3.05,9.384765276
22/11/2021,350.8371056,137.1,274,455.7653476,317,3.04,9.344957152
19/11/2021,344.1954232,139.3,280.8,457.2403164,299.8,3.06,9.663422145
18/11/2021,315.479914,156,285.4,457.9778008,302.8,3.11,9.344957152
17/11/2021,327.20053,164.8,292.6,469.2244376,298.8,3.13,9.19070067
16/11/2021,330.130684,165.2,297.4,463.232377,299.8,3.12,9.384765276
15/11/2021,327.9819044,161.5,289.6,453.3685234,294,3.14,9.489261602
12/11/2021,321.9262528,162.4,289.8,447.2842772,300,3.14,9.394717307
11/11/2021,306.1034212,163.2,282.4,440.2781756,301.6,3.19,9.780856111
10/11/2021,300.829144,161.2,277.4,445.8093085,299.4,3.18,9.175772624
09/11/2021,294.5781488,157.1,270.4,427.7409411,310.6,3.2,8.926971848
08/11/2021,298.4850208,157.3,271.2,427.55657,304,3.15,8.65826701
05/11/2021,302.5872364,159.9,276.8,430.8752498,311,3.22,8.966779972
04/11/2021,316.2612884,165.6,286,443.2281131,315.6,3.14,8.489082482
03/11/2021,309.0335752,160.6,277,432.3502185,292.8,3.14,8.608506854
02/11/2021,306.8847956,161.6,271,427.7409411,297.6,3,7.896936635
01/11/2021,299.2663952,159.5,267.4,432.9033318,287.2,3.05,8.011384992
29/10/2021,303.1732672,163,269.6,443.4124842,296.6,2.96,7.90191265
28/10/2021,305.3220468,165.2,272.2,450.0498437,301.8,2.94,8.138770989
27/10/2021,305.3220468,164.5,268.6,448.9436171,308.8,2.68,8.304969907
26/10/2021,318.0193808,169.5,283,462.7714492,311.4,2.7,8.071097178
25/10/2021,317.43335,174,286.8,465.5370157,302.8,2.72,8.732907242
22/10/2021,317.43335,174.4,289.2,469.6853653,295.4,2.62,8.479130451
21/10/2021,319.386786,173.9,288.4,465.9979434,282,2.63,8.628410916
20/10/2021,323.4890016,175.8,293.8,469.6853653,285,2.73,9.378794057
19/10/2021,315.479914,164.8,285.6,460.0058828,281,2.67,9.454429493
18/10/2021,310.4009804,162.9,280.4,458.1621719,276.8,2.79,10.20083182
15/10/2021,307.4708264,161.8,280.8,456.8715742,273,2.79,10.30035213
12/10/2021,297.3129592,161.3,269,445.4405663,253.8,2.7,9.864453172
11/10/2021,304.3453288,167.8,277.4,457.2403164,258.8,2.7,9.882366828
08/10/2021,289.3038716,155.5,256,444.1499686,246,2.74,10.03164729
07/10/2021,283.24822,147.3,250.8,434.5626717,248.6,2.68,9.648494099
06/10/2021,266.8393576,137.3,228.6,411.5162847,239.8,2.71,9.872414797
05/10/2021,269.1834808,135.3,233.6,414.8349645,246.6,2.73,10.74819353
04/10/2021,268.2067628,137,236.8,421.2879528,241.8,2.74,10.30035213
30/09/2021,276.6065376,142.2,246.6,425.3441169,243,2.76,11.93248522
29/09/2021,286.9597484,148.3,250,428.6627966,238.6,2.8,9.942079014
28/09/2021,292.2340256,150.9,251.8,433.0877029,242.2,2.79,10.19087979
27/09/2021,285.5923432,141.9,248.4,428.2940544,242.2,2.88,10.50934478
24/09/2021,285.3969996,144.3,244.6,424.2378903,243,2.92,10.59891306
23/09/2021,289.4992152,148.4,242.6,427.0034568,242.2,2.95,10.96713821
21/09/2021,284.0295944,148.7,230.6,414.8349645,243,2.92,10.90742603
20/09/2021,287.7411228,151.5,234.6,418.7067575,243.8,2.9,10.34016026
17/09/2021,300.2431132,154.9,240.8,425.7128591,257.4,2.96,10.85766587
16/09/2021,286.9597484,151.5,232.6,415.7568199,249,3.03,10.83776181
15/09/2021,288.13181,154,234,417.9692731,258.4,3.03,10.89747399
14/09/2021,306.2987648,158.3,245,435.8532693,263,3.08,11.07661055
13/09/2021,305.9080776,160.8,247.8,440.6469178,256,3.07,11.24579508
10/09/2021,313.7218216,167.9,259.4,451.7091835,261.6,3.01,10.99699431
09/09/2021,298.0943336,161,248.6,442.4906288,262.4,3.05,10.96713821
08/09/2021,315.8706012,170.9,261,483.5131975,269.6,3.04,10.98704227
07/09/2021,310.0102932,170,257.4,475.2164982,270.8,3.2,10.93728212
03/09/2021,304.9313596,164.9,244.8,449.8654726,254.4,3.14,10.37001635
02/09/2021,307.66617,171,253.6,457.2403164,262.2,3.15,10.34016026
01/09/2021,304.1499852,165.2,253.4,450.2342148,256.4,3.28,10.59891306
31/08/2021,299.2663952,165.5,249,443.5968553,263.4,3.26,10.62876916
30/08/2021,291.4526512,158.2,228.4,429.400281,261.4,3.27,10.88732292
27/08/2021,297.7036464,155.9,225,429.9533943,262.4,3.23,11.12637071
26/08/2021,289.6945588,162.2,226.8,434.9314138,256.4,3.21,10.60388908
25/08/2021,287.155092,164.1,227,437.5126092,266.4,3.32,10.85766587
24/08/2021,273.48104,166.5,221.8,435.1157849,266.6,3.27,10.77307361
23/08/2021,237.9285048,152.1,195.4,399.9009057,262.4,3.18,10.15107167
20/08/2021,235.7797252,157.9,193.4,392.1573197,250.4,3.19,10.84771384
19/08/2021,240.8586588,162.1,202.6,388.2855267,258.4,3.11,10.64867322
18/08/2021,247.5003412,171.6,218.2,402.1133589,256.8,3.02,10.30035213
17/08/2021,244.1795,171.8,213.6,401.0071323,252.8,3.06,10.24063995
16/08/2021,257.4628648,180.4,221.4,418.3380153,253.6,3.06,10.51929682
13/08/2021,267.620732,184,233.4,433.4564451,273.4,3.12,10.79297767
12/08/2021,269.7695116,188.7,236.6,444.3343397,276.8,3.12,10.99201829
11/08/2021,275.0437888,191.2,237.2,446.1780507,268.4,3.15,10.89747399
10/08/2021,278.5599736,192.9,239,448.2061327,270,3.2,11.03630483
06/08/2021,269.9648552,193.5,213.8,418.1536442,275.4,3.22,11.00197032
05/08/2021,267.2300448,192.5,211.2,404.6945542,270.8,3.17,11.19603493
04/08/2021,270.9415732,192.3,213.6,421.1035817,280.6,3.16,11.3154593
03/08/2021,269.3788244,193.5,211.6,411.1475426,259,3.25,11.32909358
02/08/2021,270.7462296,191.9,216,437.8813514,258.2,3.23,11.90262913
30/07/2021,270.1601988,189,215,441.5687733,239,3.17,11.90262913
28/07/2021,245.156218,183.2,208.6,412.2537691,211,3.32,12.7585038
26/07/2021,260.9790496,192.1,235.6,451.7091835,217.8,3.25,13.02720864
23/07/2021,283.0528764,205.2,273.2,489.5052581,227.2,3.19,13.03716067
22/07/2021,288.3271536,207.4,279.8,501.4893793,223.8,3.21,12.93764036
21/07/2021,279.5366916,203,270.2,495.9582464,218.6,3.26,12.51467904
20/07/2021,281.0994404,202.8,275.2,500.106596,206,3.2,12.82816802
19/07/2021,282.8575328,202.6,276.2,506.5595844,208.2,3.21,12.63410341
16/07/2021,291.061964,209.4,290.8,519.9264888,212.4,3.39,13.28596145
15/07/2021,290.085246,210.6,290.4,520.8483443,213.8,3.4,13.38548176
14/07/2021,288.9131844,206.4,290,513.0125727,221,3.47,13.2063452
09/07/2021,272.504322,195.5,279.2,496.4191741,216.2,3.36,11.64387632
08/07/2021,270.1601988,197.3,267.6,486.7396916,219.8,3.32,12.27085428
07/07/2021,280.318066,205.8,286,505.6377289,225.2,3.37,12.53955912
06/07/2021,286.3737176,209.4,289.8,515.3172114,223.8,3.36,12.12157381
02/07/2021,293.7967744,212,304,529.6059713,221.2,3.43,11.84291694
30/06/2021,298.2896772,220,320.4,538.3635983,232.2,3.44,12.58931927
29/06/2021,294.968836,219.4,323.8,544.3556589,236.6,3.49,12.83812005
28/06/2021,293.2107436,222,328.6,548.9649363,234.8,3.53,12.86548813
25/06/2021,288.13181,215.6,330,551.7305027,229,3.44,12.77840786
24/06/2021,279.5366916,210.2,315,537.4417428,227.6,3.64,13.0471127
23/06/2021,279.341348,207.2,308,536.9808151,229.8,3.59,12.87792817
22/06/2021,272.3089784,203,292.8,528.6841158,223.2,3.66,12.52960709
18/06/2021,279.7320352,207,300.6,555.8788524,232.4,3.69,12.35047053
17/06/2021,270.1601988,203.8,290,552.1914305,223,3.76,12.39027865
16/06/2021,267.4253884,203.4,288.8,549.8867918,206,3.79,12.6291274
15/06/2021,269.574168,206.4,302.4,553.1132859,224.4,3.82,12.64903146
11/06/2021,272.6996656,205.2,307.2,549.425864,214.4,3.74,12.35047053
10/06/2021,276.8018812,207.6,298,553.5742137,212,3.8,12.65898349
09/06/2021,274.8484452,208,293.2,555.8788524,199.5,3.79,12.8878802
08/06/2021,281.294784,210.2,297,554.0351414,201.6,3.9,13.08692082
07/06/2021,282.4668456,212,300,553.5742137,189.7,3.9,12.93764036
04/06/2021,288.5224972,210.2,302.2,563.7146239,191.9,3.87,12.93764036
03/06/2021,288.9131844,210.8,307.4,567.4020458,189.7,3.79,12.47984693
02/06/2021,292.8200564,214.4,311.8,579.386167,193,3.81,12.56443919
01/06/2021,290.8666204,218.2,313,578.9252393,190.9,3.66,12.3106624
28/05/2021,275.8251632,207.4,265.2,554.4960692,177.7,3.46,11.74339663
27/05/2021,277.7785992,208.8,271.8,558.1834911,176.5,3.37,11.65880437
26/05/2021,280.9040968,207,279.6,569.7066845,175.4,3.29,11.78320476
25/05/2021,278.36463,206,276.6,562.3318407,171.3,3.3,11.7633007
24/05/2021,275.8251632,205,271,539.7463815,167.6,3.33,12.03200553
21/05/2021,282.0761584,208,275.2,542.511948,163.9,3.3,11.6040682
20/05/2021,274.2624144,206,273.2,561.4099852,160.9,3.35,11.36521945
18/05/2021,264.4952344,207.6,260,560.027202,151.3,3.33,11.42493164
17/05/2021,259.6116444,205.4,254.2,553.5742137,152.9,3.34,11.21593899
14/05/2021,261.9557676,204.6,244,537.4417428,143.8,3.31,10.95718618
13/05/2021,270.1601988,213.2,251.6,534.6761764,141.2,3.22,11.07661055
12/05/2021,279.7320352,220.2,255.2,551.7305027,148.9,3.22,11.04675446
11/05/2021,265.8626396,207.6,249,538.8245261,142,3.27,11.74339663
10/05/2021,280.5134096,215.2,262.8,548.5040086,146.2,3.21,11.92253319
07/05/2021,285.7876868,219.8,282.8,553.1132859,145,3.12,11.97726936
06/05/2021,288.5224972,221.6,285.8,562.7927685,153.8,3.12,11.56426007
05/05/2021,289.108528,220,287,562.7927685,157.1,2.79,11.4448357
04/05/2021,293.7967744,225.2,291.8,573.3941064,159.5,2.72,11.42493164
03/05/2021,291.8433384,223.8,293.2,575.6987451,156.8,2.75,11.61402023
30/04/2021,291.8433384,225,298,574.3159619,160.3,2.78,11.70358851
29/04/2021,299.852426,231.4,309.2,582.1517335,168.8,2.89,11.70358851
28/04/2021,297.5083028,231.6,309.4,578.9252393,174.4,2.85,11.62397226
27/04/2021,291.061964,226.4,313,576.1596729,177.5,2.82,11.05670649
26/04/2021,292.2340256,224.6,305,579.386167,177.1,2.87,11.24579508
23/04/2021,290.085246,224.4,306.4,582.6126612,180.5,2.92,11.11641868
22/04/2021,284.6156252,221.4,292,572.472251,177.5,2.95,11.03182641
21/04/2021,280.5134096,221.8,282.2,561.4099852,177.8,2.9,11.87277304
20/04/2021,291.061964,228.2,293.6,573.8550342,183,2.84,10.99699431
19/04/2021,294.3828052,232,289.2,578.0033838,184.6,2.86,11.1562268
16/04/2021,295.945554,235.6,290.2,582.6126612,176.2,2.88,11.39507555
15/04/2021,293.992118,233.8,284.8,571.5503955,175,2.85,11.17115485
14/04/2021,298.875708,237.8,286,574.7768896,178.3,2.82,11.14627477
13/04/2021,291.4526512,233.2,276,560.4881298,168.3,2.77,11.01689837
12/04/2021,302.0012056,232.2,298.2,565.5583349,170.4,2.74,10.91737806
09/04/2021,308.642888,218,314,572.0113232,175.1,2.77,10.94723415
08/04/2021,313.3311344,223,320.8,571.5503955,178,2.81,11.35029141
07/04/2021,316.8473192,222,318,580.3080225,177.8,2.72,10.97211423
01/04/2021,328.3725916,225.6,325.8,602.8934817,177.5,2.67,10.35011229
31/03/2021,314.503196,220,298.2,562.3318407,164.9,2.74,10.50436877
30/03/2021,311.573042,221.6,293.6,561.870913,170.4,2.74,10.33020823
29/03/2021,306.1034212,216.2,280.4,564.1755517,171.1,2.7,9.185724655
26/03/2021,305.9080776,216,302,571.5503955,177,2.68,9.912222921
25/03/2021,300.6338004,221,287.4,558.6444188,168,2.68,9.937102999
24/03/2021,311.7683856,230,292,574.7768896,168.2,2.67,9.762942456
23/03/2021,315.479914,230,303.8,579.386167,180.6,2.77,10.10628753
22/03/2021,320.363504,231.2,320.6,583.9954444,187.1,2.88,10.34016026
19/03/2021,318.8007552,234.6,333,578.9252393,184.8,2.87,10.69345736
18/03/2021,323.293658,233.6,337.4,590.4484327,192,2.76,10.24063995
17/03/2021,321.340222,222.6,325.4,575.6987451,190.5,2.79,10.56408095
16/03/2021,323.293658,221.4,329.6,581.229878,191,2.71,10.18092776
15/03/2021,314.6985396,221.4,317.2,578.9252393,185.6,2.74,10.35011229
12/03/2021,335.4049612,226,333,599.6669875,191.1,2.75,10.53920088
11/03/2021,352.3998544,227.6,344.6,627.3226518,196.1,2.75,10.74421272
10/03/2021,333.4515252,228.4,317,607.0418313,185.7,2.71,7.464023284
09/03/2021,319.386786,224,302,593.6749269,176.5,2.64,9.543997773
08/03/2021,328.3725916,220.6,308.8,592.2921437,175.1,2.56,9.404669338
05/03/2021,349.0790132,227,337,625.9398686,195,2.71,10.68848134
04/03/2021,354.3532904,227.2,340,636.0802788,197,2.66,10.71833744
03/03/2021,369.0040604,232.4,372.6,666.5015096,214.4,2.55,10.43968057
02/03/2021,369.0040604,229.4,362.4,643.4551227,214.6,2.52,11.86282101
01/03/2021,365.8785628,234.6,366.8,642.5332672,213,2.5,10.58896103
26/02/2021,351.61848,232.4,340,610.7292532,197.2,2.55,10.43968057
25/02/2021,369.199404,243.4,370.4,637.4630621,216.2,2.62,10.77804962
24/02/2021,365.0971884,242.8,365.8,633.3147124,212.2,2.73,11.20598696
23/02/2021,379.943302,247.6,392.8,651.7518219,225.6,2.76,11.1562268
22/02/2021,385.80361,250.6,400.2,657.7438825,239.4,2.7,11.24579508
19/02/2021,401.0404108,257,423.6,683.0949081,249,2.81,12.03200553
18/02/2021,403.9705648,260.4,428,689.0869687,253.8,2.76,11.82102248
17/02/2021,407.0960624,267,451.4,698.3055235,265.4,2.87,12.03698155
16/02/2021,382.4827688,264.2,439.2,686.7823301,269.6,2.88,12.70834556
11/02/2021,377.7945224,261,445,697.8445958,265,2.83,12.39027865
10/02/2021,375.059712,262,430.4,701.5320177,267,2.83,12.58931927
09/02/2021,358.455506,255.4,409,682.6339804,260,2.81,12.78835989
08/02/2021,358.8461932,256.4,406.4,678.9465585,250,2.83,12.81722078
05/02/2021,360.9949728,258,401.4,675.7200643,249.6,2.92,12.77343185
04/02/2021,359.432224,262.2,401,678.024703,255,2.91,12.71272446
03/02/2021,368.8087168,261,414.2,678.4856308,267,2.96,12.87792817
02/02/2021,363.7297832,260,395,667.8842928,262.2,2.92,12.44999084
01/02/2021,344.781454,251.2,391,656.3610993,245,2.9,11.65382835
29/01/2021,337.7490844,246.8,355.8,628.2445073,237.4,2.79,11.73330527
28/01/2021,342.2419872,251.6,355.6,627.7835795,236,2.9,12.39027865
27/01/2021,364.1204704,260,364,646.6816168,254,2.86,11.94243725
26/01/2021,373.106276,253.4,378.6,662.3531599,261.4,2.9,13.40538582
25/01/2021,378.5758968,258,399.8,706.6022228,278.4,2.85,13.43524191
22/01/2021,356.6974136,250.6,380.2,637.0021343,254.6,2.8,12.3405185
21/01/2021,361.38566,258.6,375.2,629.1663628,248.4,2.94,12.76845583
20/01/2021,355.7206956,265,372,626.4007963,244,3.04,13.08692082
19/01/2021,344.1954232,244.2,341,603.8153372,234,3.07,13.0471127
15/01/2021,342.2419872,241,307.6,594.5967824,245.8,3.05,13.36557769
14/01/2021,345.1721412,235,313.2,580.3080225,249,3.18,14.35082877
13/01/2021,338.5304588,223.8,296.4,549.425864,258,3.08,13.34567363
12/01/2021,344.5861104,220,302,543.8947312,253.8,3.19,13.15658504
11/01/2021,345.3674848,221,309.6,544.8165867,256.2,2.96,12.64903146
08/01/2021,339.5071768,224.2,318,528.2231881,240.2,3.07,13.03716067
